Type,Word,Pinyin,Meaning,Note
EN,checklist,,bảng liệt kê các mục cần kiểm tra,n
EN,client,,khách hàng,n
EN,communicate,,giao tiếp; truyền đạt,v
EN,exchange,,sự trao đổi,n
EN,film studio,,phim trường,phr
EN,journal,,tạp chí; báo,n
EN,journalist,,nhà báo,n
EN,magazine,,tạp chí,n
EN,newspaper,,tờ báo,n
EN,newsstand,,quầy báo; sạp báo,n
EN,parade publisher,,cuộc diễu hành,n
EN,reader,,nhà xuất bản,n
EN,reporter,,người đọc; độc giả,n
EN,sales trend,,phóng viên; người báo cáo,n
EN,comforting,,xu hướng bán hàng,phr
EN,excellently,,có thể an ủi,adj
EN,export,,tuyệt vời; xuất sắc,adv
EN,former,,hàng xuất khẩu,n
EN,govern,,trước; cũ,adj
EN,government,,quản lý; cai trị,v
EN,import,,hàng nhập khẩu,n
EN,politician,,chính trị gia,n
EN,politics,,chính trị; quan điểm chính trị,n
EN,shortly,,chẳng mấy chốc; vắn tắt; ngắn gọn,adv
EN,start,,buổi đầu; sự khởi đầu,n
EN,supplier,,nhà cung cấp,n
EN,unlikely,,không chắc; không có thực,adj
EN,back away from,,lùi xa khỏi,phr
EN,be closed for the day,,đóng cửa (hết giờ làm việc),phr
EN,be determined to do,,quyết tâm làm gì,phr
EN,business day,,ngày làm việc,phr
EN,commercial space,,không gian/mặt bằng kinh doanh,phr
EN,day after tomorrow,,ngày kia,phr
EN,front-page story,,câu chuyện trên trang nhất,phr
EN,give a good price,,đưa ra một mức giá tốt,phr
EN,headline,,tiêu đề; dòng tít,n
EN,in stock,,có hàng (còn trong kho),phr
EN,lead (up/down) to,,dẫn đến,phr
EN,make a recording,,ghi âm,phr
EN,normal operating hours,,giờ làm việc bình thường,phr
EN,on sale,,bán giảm giá,phr
EN,on the market,,trên thị trường,phr
EN,out of print,,không xuất bản nữa,phr
EN,out of stock,,hết hàng,phr
EN,overcharge,,bản quá đắt; nói thách,v
EN,payment option,,phương thức thanh toán,phr
EN,place an order,,đặt hàng,phr
EN,put A out for sale,,đưa A ra bán,phr
EN,retail store,,cửa hàng bán lẻ,phr
EN,run out of,,hết; cạn kiệt,phr
EN,sales presentation,,bài thuyết trình bán hàng,phr
EN,salesperson,,nhân viên bán hàng,n
EN,sold out,,hết hàng,phr
EN,stay open late,,mở cửa muộn,phr
EN,stockroom,,nhà kho,n
EN,storage facility,,kho hàng; kho lưu trữ,phr
EN,storeroom,,kho hàng,n
EN,take inventory,,kiểm kê,phr
EN,accordingly,,vì vậy; cho nên,adv
EN,adaptable,,có thể thích nghi,adj
EN,along with,,cùng với; kèm theo,phr
EN,at the latest,,muộn nhất là,phr
EN,compliant,,mềm mỏng; phục tùng,adj
EN,correspond,,tương xứng; đối nhau,v
EN,cultivation,,sự trồng trọt; sự nuôi dưỡng,n
EN,do business with,,buôn bán/giao dịch với,phr
EN,had better do,,tốt hơn nên,phr
EN,honorable,,đáng kính trọng; vinh dự,adj
EN,perceptive,,(thuộc) nhận thức; nhận thức được,adj
EN,reasonably,,hợp lý; vừa phải,adv
EN,transformation,,sự biến đổi,n
EN,attain,,đạt được,v
EN,barter,,đổi; đổi chác,v
EN,boycott,,tẩy chay,v
EN,capitalize on,,lợi dụng; tranh thủ cơ hội,phr
EN,council,,hội đồng,n
EN,Department of Commerce,,Bộ Thương mại,phr
EN,depot,,kho chứa; kho hàng,n
EN,diminish,,giảm; bớt,v
EN,duty-free,,miễn thuế,adj
EN,election,,cuộc bầu cử,n
EN,exercise one's right,,sử dụng quyền của,phr
EN,federal,,(thuộc) liên bang,adj
EN,hold power,,cầm quyền; nắm quyền,phr
EN,inclination,,sự nghiêng; độ nghiêng,n
EN,inevitable,,không thể tránh được,adj
EN,loyal customer,,khách hàng trung thành,phr
EN,outside provider,,nhà cung cấp bên ngoài,phr
EN,poll,,cuộc thăm dò ý kiến,n
EN,possession,,quyền sở hữu; sự chiếm hữu,n
EN,scarce,,khan hiếm; khó tìm,adj
EN,status,,trạng thái; tình trạng,n
EN,switch A to B,,chuyển A sang B,phr
EN,wholesaler,,người bán buôn,n
EN,withstand,,chịu đựng; chống lại,v
EN,backseat,,ghế sau,n
EN,borrow,,vay; mượn,v
EN,bother,,làm phiền,v
EN,ceiling,,trần nhà,n
EN,empty,,trống; rỗng,adj
EN,exit,,lối ra,n
EN,fashion photographer,,nhiếp ảnh gia thời trang,phr
EN,look after,,trông nom; chăm sóc,phr
EN,pair,,ghép đôi,v
EN,per day,,mỗi ngày,phr
EN,professor,,giáo sư,n
EN,proof,,bằng chứng; chứng cớ,n
EN,put on,,mặc vào,phr
EN,spray,,phun; xịt,v
EN,think of,,nghĩ về,phr
EN,wear,,mặc; mang; đeo,v
EN,climb,,trèo; leo trèo,v
EN,deny,,phủ nhận; từ chối,v
EN,escape,,trốn thoát; thoát ra,v
EN,final,,cuối cùng,adj
EN,generally,,nói chung; thông thường,adv
EN,loose,,lỏng; lung lay,adj
EN,meaning,,nghĩa; ý nghĩa,n
EN,off-season,,mùa thấp điểm,n
EN,once,,trước đây; đã từng,adj
EN,product,,sản phẩm,n
EN,quit,,từ bỏ; thôi,v
EN,volume,,âm lượng; tập (sách),n
EN,close a deal,,chốt giao dịch,phr
EN,complicate,,làm phức tạp; làm rắc rối,v
EN,dial a number,,quay số; gọi điện thoại,phr
EN,disadvantage,,sự bất lợi,n
EN,focus on,,tập trung vào,phr
EN,for ages,,rất lâu,phr
EN,household,,hộ; gia đình,n
EN,I have no idea,,Tôi không biết,phr
EN,lock up,,khóa lại; cất giữ,phr
EN,make a deposit,,đặt cọc,phr
EN,make a mistake,,phạm lỗi,phr
EN,peak,,đỉnh; chỏm; chóp,n
EN,rain check,,phiếu mua hàng sau; để dịp sau,phr
EN,rent out,,cho thuê,phr
EN,rental agreement,,hợp đồng cho thuê,phr
EN,rough,,khó khăn; gian khổ,adj
EN,royalty,,hoàng gia,n
EN,run off in several directions,,thử làm nhiều việc,phr
EN,scare,,dọa; làm kinh hãi,v
EN,sign a contract,,ký hợp đồng,phr
EN,under a contract,,theo hợp đồng,phr
EN,win a contract,,giành được hợp đồng,phr
EN,agreeable,,dễ chịu; sẵn sàng đồng ý,adj
EN,call out,,ra lệnh; kêu gọi,phr
EN,convincing,,có sức thuyết phục,adj
EN,diplomatic,,mang tính ngoại giao,adj
EN,equality,,sự cân bằng,n
EN,ethical,,thuộc về đạo đức,adj
EN,hesitate,,do dự; ngập ngừng,v
EN,in contrast,,đối lập; trái ngược,phr
EN,instrumental,,thuộc nhạc cụ/dụng cụ,adj
EN,lengthen,,kéo dài,v
EN,make a move,,hành động; ra tay,phr
EN,offend,,xúc phạm; vi phạm,v
EN,opposing,,trái ngược; đối kháng,adj
EN,origin,,nguồn gốc; xuất xứ,n
EN,rational,,có lý; thỏa đáng,adj
EN,recognition,,sự công nhận,n
EN,refusal,,sự từ chối,n
EN,sarcastic,,chế nhạo; châm biếm,adj
EN,selected,,được chọn; kén chọn,adj
EN,sort of,,phần nào,phr
EN,surely,,chắc chắn; rõ ràng,adv
EN,surprise,,sự/điều ngạc nhiên,n
EN,uninterested,,không quan tâm; thờ ơ,adj
EN,verbal,,bằng lời nói,adj
EN,virtual,,ảo,adj
EN,within reason,,vừa phải; hợp lý,phr
EN,be in agreement,,đồng ý với,phr
EN,draw up a new agreement,,soạn thảo một hợp đồng mới,phr
EN,enclosure,,sự gửi kèm (tài liệu),n
EN,generation gap,,khoảng cách thế hệ,phr
EN,have difficulty (in) -ing,,gặp khó khăn trong việc,phr
EN,in appreciation of,,trong nỗ lực để,phr
EN,in an attempt to,,với sự cảm kích dành cho,phr
EN,in print,,trên văn bản trên giấy,phr
EN,in summary,,tóm lại,phr
EN,lifetime employment,,công việc lâu dài,phr
EN,low-income resident,,khu dân cư thu nhập thấp,phr
EN,make a bid,,bỏ thầu; đấu giá,phr
EN,make a contract with,,ký hợp đồng với,phr
EN,on hand,,có sẵn; hiện có,phr
EN,replica,,mô hình; bản sao,n
EN,rigid,,cứng rắn; cứng nhắc,adj
EN,security deposit,,tiền bảo chứng; tiền đặt cọc,phr
EN,sequential,,liên tục; tiếp sau,adj
EN,successful candidate,,ứng viên được chọn,phr
EN,take A seriously,,xem A là quan trọng; làm A một cách nghiêm túc,phr
EN,It is no wonder (that),,Không có gì lạ khi,phr
EN,portray,,vẽ; miêu tả (người; cảnh),v
EN,reinstall,,cài đặt lại; phục chức,v
EN,repave,,lát lại (đường),v
EN,run the risk of,,có nguy cơ,phr
EN,think over,,nghĩ lại,phr
EN,affiliation,,sự liên kết; sự sáp nhập,n
EN,arbitration,,sự phân xử; trọng tài,n
EN,beside the point,,không quan trọng; lạc đề,phr
EN,foil,,đánh bại; làm thất bại,v
EN,impartially,,vô tư; công bằng,adv
EN,inconclusively,,bỏ lửng; mập mờ,adv
EN,omission,,sự bỏ sót,n
EN,originate in,,bắt nguồn từ,phr
EN,preferential treatment,,đối xử ưu ái,phr
EN,recollection,,sự nhớ lại; hồi ức,n
EN,reconcile,,giảng hòa; hòa giải,v
EN,relinquish,,từ bỏ,v
EN,remembrance,,sự hồi tưởng; ký ức,n
EN,solicit,,gạ gẫm; khẩn khoản,v
EN,subcontract,,hợp đồng thầu phụ,n
EN,subcontractor,,nhà thầu phụ,n
EN,trustworthy,,đáng tin cậy,adj
EN,a sheet of,,một tờ; một mảnh; một tấm,phr
EN,business card,,danh thiếp,phr
EN,cartridge,,hộp mực (máy in),n
EN,daily,,hằng ngày,ady
EN,edit,,biên tập; hiệu chỉnh,v
EN,hand,,bàn tay,n
EN,in order to do,,để làm,phr
EN,laptop,,máy tính cá nhân,n
EN,name tag,,bảng tên,phr
EN,on vacation,,trong kỳ nghỉ,phr
EN,paper jam,,kẹt giấy,phr
EN,paperwork,,công việc giấy tờ,n
EN,partition,,sự phân chia,n
EN,rush hour,,giờ cao điểm,phr
EN,section,,mục; phần; bộ phận,n
EN,sheet,,tấm; phiến; tờ,n
EN,tabletop,,mặt bản,n
EN,telephone call,,cuộc gọi (điện thoại),phr
EN,trash bin,,thùng rác,phr
EN,upstairs,,thuộc tầng trên,adj
EN,as if,,như thể,phr
EN,as well as,,cũng như,phr
EN,be aware of,,nhận thức về; biết về,phr
EN,be known as,,được biết đến là,phr
EN,be likely to,,có khả năng,phr
EN,detail,,chi tiết,n
EN,offering,,sự đề nghị; tăng phẩm,n
EN,on one's own,,tự mình,phr
EN,adjust the mirror,,điều chỉnh gương,phr
EN,advance reservation,,đặt trước,phr
EN,arrange an appointment,,sắp xếp một cuộc hẹn,phr
EN,bulletin board,,bằng thông báo,phr
EN,call back,,gọi lại,phr
EN,confused,,bối rối; lúng túng,adj
EN,deadline.,,hạn chót; thời hạn,n
EN,errand,,việc lặt vặt,n
EN,extend an invitation.,,đưa ra lời mời,phr
EN,get a permit,,xin phép,phr
EN,hand in,,nộp; gửi,phr
EN,have a day off,,có một ngày nghỉ,phr
EN,have a long day,,có một ngày mệt mỏi/ nhiều việc,phr
EN,head up,,lãnh đạo; điều hành,phr
EN,in a hurry,,đang vội; vội vã,phr
EN,in alphabetical order,,theo thứ tự bảng chữ cái,phr
EN,in luck,,may mắn,phr
EN,leave A up to B,,để A cho B,phr
EN,leave A with B,,để A lại với B,phr
EN,listing,,danh sách,n
EN,make a call,,gọi điện thoại,phr
EN,make a correction,,sua sai,phr
EN,make a final change,,thực hiện thay đổi cuối cùng,phr
EN,make a note of,,ghi lại,phr
EN,make an impression,,tạo ấn tượng,phr
EN,move ahead with,,tiến hành; xúc tiến,phr
EN,on a business trip,,trong chuyến công tác,phr
EN,on a weekly basis,,hằng tuần; mỗi tuần,phr
EN,on business,,đi công tác,phr
EN,on duty,,trong ca trực,phr
EN,pick up the phone,,nghe điện thoại,phr
EN,scrub,,chà xát; chùi,v
EN,seal,,đóng dấu,v
EN,speak into the microphone,,nói vào micro,phr
EN,speak on the phone,,nói chuyện điện thoại,phr
EN,stand in a line,,đứng thành một hàng,phr
EN,take a message,,nhận lời nhắn,phr
EN,take apart,,tách ra; thảo ra,phr
EN,utility provider,,nhà cung cấp tiện ích,phr
EN,acquired,,thu được; giành được,adj
EN,adapt,,thích nghi,v
EN,take on responsibility,,chịu trách nhiệm,phr
EN,throw one's effort into,,dồn hết nỗ lực của ai đó vào,phr
EN,arrange items on the shelf,,sắp xếp đồ trên giá,phr
EN,call in sick,,gọi điện thoại báo ốm,phr
EN,cover one's shift,,làm thay ca của ai đó,phr
EN,day-to-day operation,,công việc hằng ngày,phr
EN,in line with,,phù hợp với,phr
EN,officiate,,thi hành nhiệm vụ; làm bổn phận,v
EN,on hold,,tạm dừng; chờ máy (điện thoại),phr
EN,set down to work,,bắt đầu làm; bắt đầu thực hiện,phr
EN,stay awake,,giữ tỉnh táo,phr
EN,strew,,trải; rắc; phân tán,v
EN,take the place of,,thay thế,phr
EN,take turns,,lần lượt; thay phiên,phr
EN,behind schedule,,chậm tiến độ,phr
EN,condense,,làm đặc lại; nói (viết) cô đọng,v
EN,follow up on,,theo đuổi; điều tra,phr
EN,in writing,,bằng văn bản,phr
EN,popularize,,truyền bá; phổ cập,v
EN,productively,,có năng suất; màu mỡ,adv
EN,sincerity.,,sự thật thà; trung thực,n
EN,utilization,,sự dùng; sự tận dụng,n
EN,administrative,,(thuộc) hành chính,adj
EN,be affiliated with,,được liên kết với,phr
EN,conglomerate,,tập đoàn (gồm các công ty con có lĩnh vực hoạt động khác nhau),n
EN,default,,sự bỏ mặc; sự thiếu,n
EN,impending,,sắp xảy ra,adj
EN,proponent,,người bào chữa; người bênh vực,n
EN,proprietor,,chủ sở hữu,n
EN,site inspection,,giám sát hiện trường,phr
EN,subordinate,,cấp dưới,n
EN,subsidiary,,công ty con,n
EN,take initiative,,khởi xướng; tiên phong,phr
EN,telecommute,,làm việc tại nhà,v
EN,bookcase,,kế sách; tủ sách,n
EN,bookshelf,,giá sách,n
EN,case,,ca; trường hợp,n
EN,central office,,văn phòng trung tâm,phr
EN,copy machine,,máy photocopy,phr
EN,fax,,máy fax,n
EN,file folder,,thư mục; tập tin,phr
EN,greet,,chào hỏi,v
EN,handwriting,,chữ viết tay,n
EN,keypad,,bàn phím,n
EN,knife,,con dao,n
EN,log on to,,đăng nhập vào,phr
EN,online,,trên mạng,adj
EN,photocopier,,máy photocopy,n
EN,photocopy,,bản sao,n
EN,print out,,in ra,phr
EN,right away,,ngay; ngay lập tức,phr
EN,spell,,đánh vẫn,v
EN,wrap,,bọc,v
EN,fold,,gấp,v
EN,least,,ít nhất; nhỏ nhất,adj
EN,paper,,giấy,n
EN,planning,,việc lập kế hoạch,n
EN,post,,đăng lên; dán lên; gửi thư,v
EN,press the button,,nhấn nút,phr
EN,server,,người phục vụ; máy chủ,n
EN,store opening,,khai trương cửa hàng,phr
EN,task,,nhiệm vụ,n
EN,be satisfied with,,hài lòng với,phr
EN,be seated,,được xếp chỗ,phr
EN,be surrounded by,,được bao quanh bởi,phr
EN,business contacts,,đối tác kinh doanh,phr
EN,chairperson,,chủ tịch,n
EN,copy editor,,biên tập viên,phr
EN,deep end,,tận cùng,phr
EN,double-sided,,hai mặt,adj
EN,drawer,,ngăn kéo,n
EN,get one's approval,,nhận được sự chấp thuận của ai đó,phr
EN,halfway,,ở giữa,adv
EN,hand over,,bàn giao,phr
EN,in a pile,,thành chồng; thành đống,phr
EN,It could have been worse.,,Nó đã có thể,phr
EN,just in time,,vừa kịp giờ tệ hơn,phr
EN,literacy,,sự biết đọc; biết viết,n
EN,litter,,lựa chọn; ý nhường chỗ cho,n
EN,make a selection,,lựa chọn,phr
EN,make room for,,nhường chỗ cho,phr
EN,out of paper,,hết giấy,phr
EN,praise one's hand,,giơ tay,phr
EN,breport a problem,,báo lỗi,phr
EN,sort,,loại sắp xếp,v
EN,stationery,,văn phòng phẩm,n
EN,take another look,,nhìn lại một lần nữa,phr
EN,take A out,,đưa A ra,phr
EN,typewriter,,máy đánh chữ,n
EN,work in groups,,làm việc theo nhóm,phr
EN,writing pad,,tập giấy viết; sổ tay,phr
EN,anticipation.,,sự đoán trước; sự mong đợi,n
EN,automobile,,xe ô tô,n
EN,be asked to do,,được yêu cầu làm gì,phr
EN,be paid for,,được trả tiền cho,phr
EN,be qualified for,,đủ điều kiện cho,phr
EN,casual,,không chính thức; giản dị,adj
EN,draft,,phác thảo; dự thảo,v
EN,draw on,,dựa vào,phr
EN,excuse,,lý do; lời bào chữa; tha thu,n
EN,head office,,trụ sở chính,phr
EN,in anticipation of,,phòng khi,phr
EN,submit A to B,,gửi A cho B,phr
EN,succeed in -ing,,thành công trong,phr
EN,time-consuming,,tốn thời gian,adj
EN,bookkeeping,,công việc kế toán,n
EN,have one's hands full,,rất bận,phr
EN,make an outside call,,gọi điện thoại ra ngoài,phr
EN,motivation,,động lực,n
EN,newly listed,,mới vào danh sách,phr
EN,prioritize,,dành ưu tiên,v
EN,sit in alternate seats,,ngồi kế tiếp nhau,phr
EN,written authorization,,văn bản ủy quyền,phr
EN,written consent,,văn bản chấp thuận,phr
EN,acquaintance,,người quen,n
EN,dimension,,kích thước; cỡ,n
EN,directive,,chỉ dẫn; hướng dẫn,adj
EN,discerning,,sáng suốt; tinh ý,adj
EN,elegantly,,thanh lịch; tao nhã,adv
EN,expectant,,mong chờ; hảo hức,adj
EN,invaluable,,vô giá,adj
EN,propell,,đẩy đi,v
EN,realization,,sự thực hiện; sự nhận thức rõ,n
EN,recline,,dựa vào; ngả vào,v
EN,repository,,kho; chỗ chứa,n
EN,respective,,tương ứng,adj
EN,spontaneously,,tự ý; tự phát,adv
EN,trivial,,tầm thường; không quan trọng,adj
EN,turn in,,trả lại; nộp lại,phr
EN,ambiance,,môi trường; đặc điểm; không khí,n
EN,aspiration,,nguyện vọng; khát vọng,n
EN,creditable,,vẻ vang; đáng khen ngợi,adj
EN,eminent,,xuất sắc; xuất chúng,adj
EN,endeavor,,sự nỗ lực; sự cố gắng,v
EN,entrust A with B,,giao phó B cho A,phr
EN,on edge,,căng thẳng; bồn chồn,phr
EN,reach one's full potential,,phát huy tối đa tiềm năng của ai đó,phr
EN,briefcase,,cặp đựng tài liệu,n
EN,business trip,,chuyển công tác,phr
EN,come over,,ghé thăm,phr
EN,counter,,quầy thu ngân,n
EN,e-mail,,gửi email,v
EN,filing cabinet,,tủ hồ sơ,phr
EN,folder,,thủ tục,n
EN,headache,,chứng nhức đầu,n
EN,internship,,kỳ thực tập,n
EN,redo,,làm lại,v
EN,routine,,công việc hằng ngày,n
EN,table lamp,,đèn để bàn,phr
EN,thanks to,,nhờ có,phr
EN,timetable,,thời gian biểu,n
EN,window display,,cửa sổ trưng bày (của của hàng),phr
EN,chief,,trọng yếu; chính,adj
EN,conceal,,giấu giếm; che đậy,v
EN,correct,,đúng; chính xác,adj
EN,economic,,thuộc kinh tế; mang lại lợi nhuận,adj
EN,embrace,,ôm; nắm lấy thời cơ,v
EN,expected,,được chờ đợi; kỳ vọng,adj
EN,forum,,diễn đàn,n
EN,instead of,,thay vì,phr
EN,mission,,nhiệm vụ,n
EN,programming,,lập trình,n
EN,remaining,,còn lại,adj
EN,rush,,đổ xô tới; tăng lên đột ngột,v
EN,unfortunately,,thật không may; đáng tiếc,adv
EN,archive,,kho trữ,n
EN,be unwilling to do,,miễn cưỡng làm gì đó,phr
EN,be up late,,thức khuya,phr
EN,blackout,,sự tắt đèn; cúp điện,n
EN,board meeting,,cuộc họp hội đồng quản trị,phr
EN,board of directors,,ban giám đốc,phr
EN,cross one's arms,,khoanh tay,phr
EN,depressing,,làm chán nản; thất vọng,adj
EN,drag,,lôi kéo; kéo lên,v
EN,fold in half,,gấp đôi,phr
EN,fold up,,gặp lại,phr
EN,frighten,,làm hoảng sợ,v
EN,keep going,,tiếp tục,phr
EN,long-term,,dài hạn,adj
EN,look up,,tra cứu; tìm kiếm,phr
EN,look up to,,tôn kính; kính trọng,phr
EN,make a presentation,,thuyết trình,phr
EN,make a revision,,sửa đổi,phr
EN,make an error,,mắc lỗi; mắc sai lầm,phr
EN,meet the deadline,,đáp ứng đúng thời hạn,phr
EN,meet the requirements,,đáp ứng được yêu cầu,phr
EN,mess up,,rối tung lên,phr
EN,My schedule doesn't permit it.,,Lịch làm việc của tôi không cho phép điều đó / Tôi không thể làm được,phr
EN,obvious,,rõ ràng; rành mạch; hiển nhiên,adj
EN,office supplies,,văn phòng phẩm,phr
EN,overlook,,lờ đi; bỏ qua,v
EN,overnight,,qua đêm,adv
EN,papers,,giấy tờ; tài liệu,v
EN,proofread,,đọc soát; hiệu đính,v
EN,rearrange,,sắp xếp lại,v
EN,recondition,,tu sửa; chỉnh đốn; tân trang,v
EN,rest one's chin on one's hand,,chống cằm,phr
EN,stool,,ghế đẩu (không có lưng),n
EN,timecard,,số chấm công,n
EN,wipe,,lau chùi; làm sạch,v
EN,work additional hours,,làm thêm giờ,phr
EN,work shift,,ca làm việc,phr
EN,burdensome,,nặng nề; phiền toái,adj
EN,circulate,,truyền bá; lưu thông,v
EN,commend,,tuyên dương; ca ngợi,v
EN,company,,công ty,n
EN,discourage,,làm chán nản; làm nản lòng,v
EN,distraction,,yếu tố gây sao nhãng,n
EN,failure,,ự thất bại,n
EN,followed by,,theo sau bởi,phr
EN,interruption,,sự gián đoạn,n
EN,make sure,,đảm bảo,phr
EN,mislabeled,,bi dán nhãn sai,adj
EN,observant,,tinh mắt; tinh ý,adj
EN,persuade,,thuyết phục,v
EN,proposed,,được đề nghị; dự kiến,adj
EN,rephrase,,diễn đạt lại (bằng các từ khác),v
EN,concisely,,gãy gọn; súc tích,adv
EN,disapproval,,sự phản đối,n
EN,disapprove,,phản đối; không tán thành,v
EN,do A a favor,,giúp A một việc,phr
EN,do a good job,,làm tốt công việc,phr
EN,draw a distinction between,,chỉ ra sự khác biệt giữa,phr
EN,exposed,,phơi bày ra; lộ ra,adj
EN,intensive,,chuyên sâu; mạnh mẽ; sâu sắc,adj
EN,problematic,,khó giải quyết; khó hiểu; mơ hồ,adj
EN,project coordinator,,điều phối viên dự án,phr
EN,project management,,quản lý dự án,phr
EN,seating capacity,,sức chứa (chỗ ngồi),phr
EN,take care of,,chăm sóc,phr
EN,take on,,đảm nhiệm; gánh vác,phr
EN,tremendous,,ghê gớm; kinh khủng; dữ dội,adj
EN,under the new management,,dưới sự quản lý mới,phr
EN,astute,,sắc sảo; tinh khôn; mánh khỏe,adj
EN,bring along.,,mang theo,phr
EN,compartment,,gian; ngăn,n
EN,give way to,,nhường đường cho,phr
EN,overwork,,làm việc quá sức,n
EN,put down,,ghi chép lại; đặt xuống,phr
EN,reach the solution,,tìm ra giải pháp,phr
EN,recharge,,nạp lại,v
EN,smock,,áo khoác mặc ngoài; áo bờ lu,n
EN,accessibility,,khả năng tiếp cận được,n
EN,coordinator,,điều phối viên,n
EN,customary,,thông thường; theo lệ thường,adj
EN,disrupt,,đập gãy; phá vỡ; làm gián đoạn,v
EN,elevate,,nâng lên; đưa lên,v
EN,formality,,nghi lễ; nghi thức; thủ tục,n
EN,restraint,,sự kiếm chế,n
EN,sign out,,đăng xuất,phr
EN,undeniable,,không thể phủ nhận; không thể bác bỏ,adj
EN,violation,,sự vi phạm,n
EN,aggravate,,làm trầm trọng thêm,v
EN,contingency,,sự ngẫu nhiên; việc bất ngờ,n
EN,draw the line at,,đặt ra một giới hạn,phr
EN,draw up,,phác thảo; soạn thảo,phr
EN,evacuate,,rút khỏi; sơ tán,v
EN,in commemoration of,,để kỷ niệm,phr
EN,on probation,,trong thời gian thử việc,phr
EN,overestimate,,đánh giá quá cao,v
EN,privilege,,đặc quyền; lợi thế,n
EN,restructure,,tổ chức lại; cơ cấu lại,v
EN,segregate A from B,,cách ly A khỏi B,phr
EN,trigger,,làm nổ ra; gây ra,v
EN,wary of,,cảnh giác với,phr
EN,backpack,,ba lô,n
EN,bike,,xe đạp,n
EN,cabin,,buồng; buồng lái,n
EN,climb a mountain,,leo núi,phr
EN,film festival,,liên hoan phim,phr
EN,fishing,,câu cá,n
EN,gallery,,phòng trưng bày (nghệ thuật),n
EN,invitation,,lời mời; giấy mời,n
EN,lawn,,bãi cỏ,n
EN,paint,,sơn; y về,n
EN,painting,,bức tranh,n
EN,play cards,,chơi bài,phr
EN,public library,,thư viện công cộng,phr
EN,race,,cuộc đua;,n
EN,resort,,đua xe; chạy đua,v
EN,theater,,khu nghỉ dưỡng,n
EN,watch a film,,nhà hát,n
EN,adventure,,xem một bộ phim,phr
EN,art museum,,cuộc phiêu lưu phe bảo tàng nghệ thuật,n
EN,begin,,bắt đầu,v
EN,bring,,mang tới; mang lại,v
EN,care for,,quan tâm đến; chăm sóc cho,phr
EN,concert,,buổi hòa nhạc,n
EN,length,,chiều dài,n
EN,leisure,,thời gian rảnh rỗi,n
EN,librarian,,thủ thư; người quản lý thư viện,n
EN,menu,,thực đơn,n
EN,sightseeing,,sự tham quan; cuộc tham quan,n
EN,amusement park,,công viên giải trí,phr
EN,ancient history,,lịch sử cổ đại,phr
EN,artifact,,đồ tạo tác,n
EN,auditorium,,khán phòng,n
EN,be booked up,,đã bán hết (vẻ; phòng),phr
EN,box office,,phòng vé,phr
EN,cheerful,,vui mừng,adj
EN,choir,,đội hợp xướng; đội đồng ca,n
EN,entertain,,giải trí; tiêu khiển,v
EN,flower arrangement,,cắm hoa,phr
EN,flower bed,,luống hoa,n
EN,go to a film,,đi xem phim,phr
EN,grip,,nắm chặt; nắm vững,v
EN,have a race,,đua,phr
EN,jog along the street,,chạy bộ dọc phố,phr
EN,musical instrument,,nhạc cụ,phr
EN,oar,,mái chèo;,n
EN,oil painting,,tranh sơn dầu,phr
EN,outdoor,,ngoài trời,adj
EN,paddle,,chèo thuyền,v
EN,premiere,,buổi ra mắt,n
EN,rake leaves,,cào lá,phr
