Type,Word,Pinyin,Meaning,Note
EN,recreational activity,,hoạt động giải trí,phr
EN,right,,quyền; lẽ phải,n
EN,running time,,thời gian thực hiện,phr
EN,sail a boat,,chào thuyền,phr
EN,slide down,,trượt xuống,phr
EN,splash,,bắn lên; tóe lên,v
EN,sport tournament,,giải thi đấu thể thao,phr
EN,stadium,,sân vận động,n
EN,stay up,,thức,phr
EN,stroll,,đi dạo,v
EN,take a break,,nghỉ ngơi,phr
EN,take A for a walk,,đi dạo cùng A,phr
EN,take a photograph,,chụp một tấm ảnh,phr
EN,take a walk,,đi dạo; tản bộ,phr
EN,take great pleasure,,thích; tận hưởng,phr
EN,touch up a photograph,,chỉnh sửa ảnh,phr
EN,vacation package,,gói du lịch,phr
EN,wait for seats,,chờ tới lượt,phr
EN,wait in line,,xếp hàng chờ,phr
EN,water the plants,,tưới cây,phr
EN,amuse,,làm cho ai đó thích thú; giải trí,v
EN,artistic,,liên quan đến nghệ thuật; có khiếu nghệ thuật,adj
EN,donate,,quyền góp,v
EN,even though,,mặc dù,phr
EN,exhibit,,cuộc triển lãm,n
EN,exist,,tồn tại,v
EN,free admission,,miễn phí vào cửa,phr
EN,make oneself at home,,cứ tự nhiên như ở nhà,phr
EN,municipal,,thuộc thành phố; đô thị,adj
EN,several,,vài; một số,adj
EN,spectator,,người xem; khán giả,n
EN,usher,,người chỉ chỗ (trong rạp),n
EN,win a contest,,thắng cuộc thi,phr
EN,admission to,,được nhận vào,phr
EN,contestant,,thí sinh,n
EN,delight,,sự vui sướng,n
EN,do one's hair,,làm tóc cho ai đó,phr
EN,enjoyable,,thích thú; thú vị,adj
EN,group rate,,mức giá theo nhóm,phr
EN,head for,,đi đến; hướng tới,phr
EN,out of order,,bị hỏng,phr
EN,periodical,,ấn phẩm định kỳ,n
EN,playing field,,sân bóng; sân thể thao,phr
EN,register for,,ghi danh; đăng ký,phr
EN,show up,,xuất hiện,phr
EN,take a tour,,đi tham quan,phr
EN,be in line,,xếp hàng,phr
EN,for a change,,để thay đổi,phr
EN,pass the time,,quá thời gian,phr
EN,pose,,tư thế,v
EN,stay tuned,,dùng chuyển kênh; lốp tục theo dõi,phr
EN,vacate,,bỏ trống; bỏ; xin thôi,v
EN,appreciative.,,đánh giá cao; hài lòng,adj
EN,casually,,tình cờ; ngẫu nhiên,adv
EN,enlightening,,khai sáng,adj
EN,enthusiastically,,nhiệt tình; hăng hái,adv
EN,excellence,,sự xuất sắc; sự vượt trội,n
EN,excursion,,cuộc du ngoạn,n
EN,festivity,,sự hân hoan,n
EN,flock,,tu tập,v
EN,intriguingly,,thích thú; tò mò,adv
EN,leg room,,không gian để chân (trên ô tô),phr
EN,mural,,bích họa,n
EN,portrait,,chân dung,n
EN,publication,,ấn phẩm; sự xuất bản,n
EN,sculpture,,nghệ thuật điêu khắc; tác phẩm điêu khắc,n
EN,transferable,,có thể dịch chuyển; có thể chuyển nhượng,adj
EN,unsanitary,,không hợp vệ sinh,adj
EN,be in the mood for -ing,,muốn làm gì đó,phr
EN,botanical garden,,vườn bách thảo,phr
EN,censorship,,công tác kiểm duyệt,n
EN,have yet to do,,vẫn chưa làm gì,phr
EN,intermission,,giờ giải lao,n
EN,memoirs,,hồi ký,n
EN,must-see,,đáng xem; nhất định phải xem,phr
EN,rally,,đại hội,n
EN,ridiculous,,lố bịch,adj
EN,roam around,,đi loanh quanh,phr
EN,a couple of,,một vài; một số,phr
EN,athlete,,vận động viên,n
EN,call for,,kêu gọi; đến đón,phr
EN,cart,,xe đẩy,n
EN,customer service representative,,nhân viên chăm sóc khách hàng,phr
EN,get a phone call,,nhận cuộc gọi,phr
EN,give a call,,gọi điện,phr
EN,have one's hair cut,,cắt tóc,phr
EN,Just for a minute.,,đợi một chút,phr
EN,laundry service,,dịch vụ giặt là,phr
EN,leave a message,,để lại lời nhắn,phr
EN,product logo,,logo sản phẩm,phr
EN,rinse,,rửa; súc; giũ,v
EN,voice mail,,thư thoại,phr
EN,as soon as possible,,càng sớm càng tốt,phr
EN,complain,,phàn nàn,v
EN,counselor,,chuyên gia cố vấn,n
EN,for free,,miễn phí,phr
EN,grocery store,,cửa hàng tạp hóa,phr
EN,invite,,mời,v
EN,often,,thường; thường xuyên,adv
EN,option,,lựa chọn,n
EN,pleasure,,niềm vui thích,n
EN,positive,,lạc quan; tích cực,adj
EN,relationship,,mối quan hệ,n
EN,site,,địa điểm,n
EN,successfully,,thành công,adv
EN,visit,,sự thăm viếng,n
EN,a loaf of,,một ổ (bánh mỳ),phr
EN,affair,,việc sự vụ,n
EN,aisle,,lối đi giữa các dãy ghế,n
EN,annoy,,gây khó chịu; chọc tức,v
EN,at no charge (= at no cost),,không mất phí,phr
EN,at no extra charge,,không mất thêm phí,phr
EN,be on another call,,(điện thoại) đang bận,phr
EN,ceremonial,,thuộc nghi lễ; long trọng,adj
EN,for your own safety,,vì sự an toàn của chính bạn,phr
EN,follow-up,,sắp tới; tiếp theo,adj
EN,get a replacement,,được đổi,phr
EN,handheld,,cầm tay,adj
EN,head toward,,hướng về,phr
EN,hold the line,,giữ máy,phr
EN,just to make sure,,chỉ để chắc chắn,phr
EN,leftover,,thừa; còn lại,adj
EN,look through the manual,,xem qua sách hướng dẫn,phr
EN,on delivery,,đang được giao,phr
EN,pharmacist,,dược sĩ,n
EN,potential customer,,khách hàng tiềm năng,phr
EN,prepaid,,trả trước,adj
EN,questionnaire,,bảng câu hỏi,n
EN,recall,,thu hồi (hàng lỗi,v
EN,return a phone call,,gọi lại (điện thoại),phr
EN,ridiculously,,buồn cười; lố bịch,adv
EN,take back,,lấy lại; rút lại,phr
EN,troubleshoot,,khắc phục (sự cố); kiểm tra (trục trặc),v
EN,tune,,làm cho hòa hợp; điều chỉnh,v
EN,wardrobe,,tủ quần áo,n
EN,water-resistant,,chống nước; không ngấm nước,adj
EN,adverse,,bất lợi; đối địch,adj
EN,argument,,lý lẽ; sự tranh cãi,n
EN,as requested,,theo yêu cầu,phr
EN,defect,,lỗi; khuyết điểm,n
EN,discouraging,,làm chán nản,adj
EN,escort,,hộ tống,v
EN,exterior,,ở ngoài,adj
EN,further,,xa hơn; thêm nữa,adj
EN,go on,,tiếp tục,phr
EN,graciously,,hòa nhã; tử tế,adv
EN,inconvenient,,bất tiện,adj
EN,instant,,lập tức; dùng ngay được,adj
EN,bare,,trần; trống không,adj
EN,button up,,cài khuy,phr
EN,casualty,,người thương vong; tổn thất,n
EN,deputy,,người đại diện,n
EN,mend,,hàn gắn; sửa chữa,v
EN,testimonial,,thư tiến cử,n
EN,adaptability,,khả năng thích nghi,n
EN,aggression,,sự gây hấn; sự xâm lược,n
EN,censure,,sự phê bình,n
EN,claims department,,phòng bồi thường (của công ty bảo hiểm),phr
EN,compelling,,hấp dẫn; thuyết phục,adj
EN,decisive,,mang tính quyết định; quả quyết,adj
EN,distress,,nỗi đau khổ,n
EN,facilitate,,làm cho dễ dàng; tạo điều kiện,v
EN,factually,,đúng như thật,adv
EN,fleetingly,,mau lẹ; nhanh chóng,adv
EN,frankly,,thẳng thần,adv
EN,nourish,,nuôi dưỡng; ấp ủ,v
EN,reinforcement,,sự củng cố,n
EN,sparsely,,thưa thớt; rải rác,adv
EN,unwavering,,kiên định; vững vàng,adj
EN,vibrant,,rung động; sôi nổi,adj
EN,wonder,,tự hỏi,v
EN,blemish,,vết nhơ; nhược điểm,n
EN,armchair,,ghế bành,n
EN,cleanup,,sự dọn dẹp,n
EN,decoration,,sự trang hoàng; đồ trang trí,n
EN,fence,,hàng rào,n
EN,floor,,sàn nhà; tầng nhà,n
EN,frame,,khung; khung ảnh,n
EN,furniture,,đồ đạc; đồ nội thất,n
EN,garage,,nhà để ô tô,n
EN,heating system,,hệ thống lò sưởi,phr
EN,lobby,,hành lang,n
EN,remodeling,,sự sửa đổi; tu sửa lại,n
EN,rooftop,,mái nhà,n
EN,rope,,dây thừng,n
EN,stick,,gậy; que,n
EN,tank,,thùng; két; bể,n
EN,veranda,,mái hiện,n
EN,desktop,,thiết kế để bàn,adj
EN,dwell,,ở; ngụ; dừng lại ở,v
EN,fireplace,,lò sưởi,n
EN,heat,,nhiệt; sức nóng,n
EN,homemade,,làm tại nhà,adj
EN,homeowner,,chủ nhà,n
EN,inhabit,,ở; sống ở,v
EN,lighten,,chiếu sáng,v
EN,neighbor,,hàng xóm,n
EN,urban,,thành thị; thuộc thành phố,adj
EN,washing machine,,máy giặt,phr
EN,architecture,,công trình kiến trúc; kiểu kiến trúc,n
EN,canopy,,vòm; mái che,n
EN,cast a shadow,,phủ bóng đen,phr
EN,column,,cột; hàng dọc,n
EN,courtyard,,sân trong,n
EN,cupboard,,tủ chén,n
EN,cut the grass,,cắt cỏ,phr
EN,dedication ceremony,,lễ khánh thành,phr
EN,doorway,,của; ô cửa; lối vào,n
EN,dresser,,tủ ngăn kéo,n
EN,emergency exit,,lối thoát hiểm,phr
EN,erect,,vươn lên,v
EN,every hour on the hour,,cứ mỗi giờ,phr
EN,faucet,,vòi nước,n
EN,floor plan,,sơ đồ mặt sản,phr
EN,flooring,,sự làm sàn nhà,n
EN,front door,,cửa trước,phr
EN,hallway,,hành lang ở cửa ra vào,n
EN,hammering,,sự nện búa; trận đòn,n
EN,handrail,,lan can,n
EN,home-improvement,,sự nâng cấp nhà,n
EN,lamppost,,cột đèn,n
EN,lean against the fence,,dựa vào hàng rào,phr
EN,light bulb,,bóng đèn,phr
EN,make repairs,,sửa chữa,phr
EN,make the bed,,dọn giường,phr
EN,multistory,,nhiều tầng; cao tầng,adj
EN,outdoor wall,,tường ngoài,phr
EN,plug in,,cắm phích điện,phr
EN,pole,,cột; cọc; sào,n
EN,private residence,,dinh thự riêng,phr
EN,put away,,cất đi; gác lại,phr
EN,rebuild,,xây lại,v
EN,repairperson,,thợ sửa chữa,n
EN,spread on,,trải; lan trên,phr
EN,staircase,,cầu thang (có lan can),n
EN,stairway.,,bậc thang,n
EN,storage cabinet,,tủ cất giữ,phr
EN,switch on,,bật lên,phr
EN,turn on its side,,lật nghiêng,phr
EN,undergo renovation,,đang được cải tạo,phr
EN,windowsill,,bậu cửa sổ,n
EN,construct,,xây dựng,v
EN,describe,,miêu tả; mô tả,v
EN,desirable,,đáng mơ ước; đáng khao khát,adj
EN,structure,,cấu trúc; kết cấu,n
EN,access road,,đường nối,phr
EN,arrange the furniture,,sắp xếp đồ đạc,phr
EN,be arranged on the patio,,được sắp xếp ở ngoài hiên,phr
EN,built-in,,gắn liền; tích hợp,adj
EN,carpentry,,nghề mộc,n
EN,fire alarm,,chuông báo cháy,phr
EN,fire extinguisher,,bình cứu hỏa,phr
EN,fitting room,,phòng thử đồ,phr
EN,fixture,,vật/đồ đạc cố định,n
EN,homebuilder,,thợ xây; công ty xây dựng,n
EN,housekeeping,,công việc nội trợ,n
EN,housewares,,đồ gia dụng,n
EN,housing development,,sự phát triển nhà ở,phr
EN,in error,,vì nhầm lẫn/sai sót,phr
EN,overprice,,bán đắt,v
EN,reinforce,,tăng cường; củng cố,v
EN,resident,,cư dân,n
EN,restoration,,sự khôi phục; sự sửa chữa,n
EN,scrubbing,,sự chà xát,n
EN,skyscraper,,tòa nhà chọc trời,n
EN,space-saving,,tiết kiệm không gian,adj
EN,tenant,,người thuê nhà,n
EN,archway,,lối đi có mái vòm,n
EN,be mounted on,,được lắp; được gắn vào,phr
EN,dig with a shovel,,đào bằng xẻng,phr
EN,drain,,rút; tháo; làm cạn (nước),v
EN,hedge,,hàng rào,n
EN,landlord,,chủ nhà,n
EN,ledge,,gờ; rìa (tường),n
EN,lock oneself out of one's house,,tự khóa mình bên ngoài,phr
EN,plumber,,thợ sửa ống nước,n
EN,porch,,hiên nhà,n
EN,run the tap,,mở vòi,phr
EN,saw,,cái cưa,n
EN,scaffolding,,giàn giáo,n
EN,screw,,đinh vít,n
EN,symmetrically,,đối xứng,adv
EN,tear down,,tháo dỡ; phá,phr
EN,uninhabited,,không có người ở; bỏ không,adj
EN,woodwork,,đồ gỗ; nghề mộc,n
EN,complex,,khu phức hợp,n
EN,constructively,,có tính xây dựng,adv
EN,locale,,địa điểm; bối cảnh,n
EN,maintenance,,sự bảo trì; bảo quản,n
EN,reconfiguration,,sự tái cấu trúc,n
EN,startle,,làm giật mình,v
EN,annex,,nhà phụ,n
EN,demolish,,phá bỏ; phá hủy,v
EN,demolition,,sự phá hủy,n
EN,for lease,,cho thuê,phr
EN,insulation,,sự cách nhiệt/cách âm,n
EN,premises,,nhà cửa; vườn tược,n
EN,rack,,giá đỡ,n
EN,shockproof,,chịu va đập,adj
EN,after all,,rốt cuộc; suy cho cùng,phr
EN,answer the phone,,nghe điện thoại,phr
EN,as it is,,vốn như thế; như là,phr
EN,be based on,,dựa trên,phr
EN,be familiar with,,quen thuộc với,phr
EN,concrete,,cụ thể,adj
EN,conflict with,,mâu thuẫn với,phr
EN,on display,,trưng bày,phr
EN,shadow,,bóng tối; bóng râm,n
EN,around the world,,khắp thế giới,phr
EN,array,,sự dàn trận; hàng ngũ chỉnh tề,n
EN,attempt,,cố gắng; thử,v
EN,audiovisual,,nghe nhìn,adj
EN,avoid,,ngăn ngừa; tránh xa,v
EN,based,,dựa trên; có trụ sở ở,adj
EN,cinema,,rạp chiếu phim,n
EN,competitive,,có tính cạnh tranh,adj
EN,conclude,,kết luận,v
EN,energy drink,,nước tăng lực,phr
EN,find out,,tim ra,phr
EN,informal,,không trang trọng; thân mật,adj
EN,marketplace,,thương trường,n
EN,practice,,sự luyện tập; sự thực hành,n
EN,public relations (PR) department,,bộ phận quan hệ công chúng,phr
EN,sales,,doanh số; việc bán hàng,adj
EN,strict,,nghiêm khắc; nghiêm ngặt,adj
EN,tool,,công cụ,n
EN,typical,,đặc trưng; tiêu biểu,adj
EN,a piece of equipment,,một thiết bị,phr
EN,all the way,,hoàn toàn; hết mức; suốt,phr
EN,appealing,,cầu khẩn; cảm động; lôi cuốn,adj
EN,at once,,ngay lập tức,phr
EN,definite,,rõ ràng; xác định,adj
EN,distinguish,,phân biệt,v
EN,extraordinary,,là thường; đặc biệt,adj
EN,good for,,tốt cho,phr
EN,in bloom,,(hoa) no,phr
EN,in reference to,,liên quan đến,phr
EN,market stall,,quầy hàng ở chợ,phr
EN,mechanism,,cơ chế; cơ cấu,n
EN,metropolitan area,,khu vực đô thị,phr
EN,national holiday,,quốc lễ,phr
EN,on schedule,,đúng tiến độ,phr
EN,classified ad,,mục rao vặt (trên báo),phr
EN,compilation,,sự biên soạn; tài liệu biên soạn,n
EN,comprehensible,,có thể hiểu; lĩnh hội được,adj
EN,criticize,,phê bình; binh phẩm,v
EN,dumping,,sự bán phá giá,n
EN,first priority,,ưu tiên hàng đầu,phr
EN,fixed price,,giá cố định,phr
EN,have control over,,kiểm soát được,phr
EN,have little chance of -ing,,có ít cơ hội,phr
EN,in favor of,,ủng hộ ai/cái gì,phr
EN,keep A informed of B,,thông báo cho A về B,phr
EN,make an assessment,,thẩm định; đánh giá,phr
EN,mediate,,hòa giải; dàn xếp,v
EN,minimize the risk of,,giảm thiểu rủi ro,phr
EN,modestly,,khiêm tốn,adv
EN,persistent,,bền bỉ; kiên trì,adj
EN,publicity,,sự công khai,n
EN,release date,,ngày phát hành ra mắt,phr
EN,stay competitive,,luôn cạnh tranh,phr
EN,striking difference,,sự khác biệt nổi bật,phr
EN,take a long time,,mất một thời gian dài,phr
EN,take action,,hành động,phr
EN,trademark,,nhãn hiệu thương mại,n
EN,turn to,,chuyển sang,phr
EN,unacceptable.,,không thể chấp nhận,adj
EN,verify,,thẩm tra; xác minh,v
EN,with the exception of,,ngoại trừ,phr
EN,without notice,,không thông báo; bất ngờ,phr
EN,all-out,,dốc hết sức; dốc toàn lực,adj
EN,all walks of life,,mọi tầng lớp xã hội,phr
EN,at a stretch,,một lần; một mạch,phr
EN,back up,,hậu thuẫn; sao lưu,phr
EN,focus group,,nhóm tập trung,phr
EN,misleading,,làm cho lạc lối,adj
EN,capture,,bắt giữ; chiếm được,v
EN,consolidate,,hợp nhất; củng cố,v
EN,contend,,đấu tranh,v
EN,gauge,,đo; đánh giá,v
EN,momentum,,xung lượng; sức đẩy; đà,n
EN,recognizable,,có thể nhận ra,adj
EN,segment,,đoạn; phân khúc,n
EN,telling,,rất hiệu quả; đanh thép; đích đáng,adj
EN,confiscation,,sự thu hồi; tịch thu,n
EN,constitute,,cấu thành; tạo thành,v
EN,drive up,,tăng nhanh (giá),phr
EN,endorsement,,sự xác nhận; tán thành,n
EN,feasibility study,,nghiên cứu khả thi,phr
EN,intervention,,sự can thiệp,n
EN,irretrievable,,không thể cứu vãn,adj
EN,jeopardize,,gây nguy hiểm; hủy hoại,v
EN,legible,,rõ ràng; dễ đọc,adj
EN,lose ground,,mất vị trí; thất thế,phr
EN,public profile,,lý lịch công khai,phr
EN,reputable,,có uy tín; có danh tiếng,adj
EN,set forth,,đưa ra; nêu ra; bắt đầu một hành trình,phr
EN,set out,,sắp đặt; bố trí,phr
EN,setback,,sự thoái lui; sự giảm sút,n
EN,take a stand against,,phản đối,phr
EN,underlying,,cơ bản; cơ sở,adj
EN,vanish,,biến mất,v
EN,celebration,,sự kỷ niệm; lễ kỷ niệm,n
EN,curious,,tò mò; ham hiểu biết,adj
EN,drop by,,ghé qua,phr
EN,first step,,bước đầu tiên,phr
EN,for now,,bây giờ; hiện tại,phr
EN,gather,,tập hợp; thu thập,v
EN,get together,,gặp gỡ; tụ họp,phr
EN,hole,,lỗ thủng; lỗ hổng,n
EN,in total,,tổng cộng; toàn bộ,phr
EN,in use,,được sử dụng; thông dụng,phr
EN,practical,,thiết thực; có ích,adj
EN,shovel,,cái xẻng,n
EN,show,,cho xem; tỏ ra,v
EN,space,,chỗ; không gian,n
EN,advertise,,quảng cáo,v
EN,belief,,niềm tin; tín ngưỡng,n
EN,belong to,,của; thuộc về,phr
EN,be open for business,,mở cửa kinh doanh,phr
EN,best-selling author,,tác giả sách bán chạy,phr
EN,consumer,,người tiêu dùng,n
EN,entry fee,,phí vào cửa,phr
EN,experiment,,cuộc thí nghiệm; thử nghiệm,n
EN,findings,,kết quả; các phát hiện,n
EN,full,,đầy; no; hết sức,adj
EN,obviously,,rõ ràng; hiển nhiên,adv
EN,photographer,,nhiếp ảnh gia; thợ chụp ảnh,n
EN,primarily,,đầu tiên; chủ yếu,adv
EN,sales target,,mục tiêu về doanh số,phr
EN,advertising campaign,,chiến dịch quảng cáo,phr
EN,be anxious to do,,nóng lòng làm gì đó,phr
EN,bring on,,gây ra,phr
EN,chase,,săn; đuổi,v
EN,come along,,đi cùng,phr
EN,come loose,,nơi lỏng; lỏng ra,phr
EN,conditional,,có điều kiện,adj
EN,customer survey,,khảo sát khách hàng,phr
EN,date back to,,từ; bắt đầu từ (thời gian trong quá khứ),phr
EN,depict,,mô tả,v
EN,destruction,,sự phá hủy,n
EN,enter into,,tham gia vào; bắt đầu làm gì đó,phr
EN,get back to,,liên lạc lại,phr
EN,gradual,,dần dần; từng bước một,adj
EN,inactive,,không hoạt động; Ì ạch,adj
EN,in the meantime,,trong lúc đó,phr
EN,invalid,,không có hiệu lực,adj
EN,look over,,xem qua,phr
EN,make up one's mind,,quyết định,phr
EN,meaningful,,có ý nghĩa,adj
EN,put a rush,,với vàng,phr
EN,put a strain on,,gây áp lực lên,phr
EN,put up with,,chịu đựng,phr
EN,reach for,,vươn tới; tiếp cận với,phr
EN,stay ahead of,,dẫn đầu,phr
EN,A as well as B,,A cũng như là B,phr
EN,ample,,nhiều; phong phú,adj
EN,a range of,,một loạt,phr
EN,attend to a client,,chăm sóc khách hàng,phr
EN,confront,,đương đầu,v
EN,context,,bối cảnh; ngũ cảnh,n
EN,despair,,sự thất vọng; nỗi tuyệt vọng,n
EN,disconnected,,bị ngắt; bị tháo rời ra,adj
EN,dissatisfied,,không hài lòng; bất mãn,adj
EN,driven,,bị tác động,adj
EN,dynamic,,năng động; sôi nổi,adj
EN,eagerly await,,hảo hức chờ đợi,phr
EN,enormous,,to lớn; khổng lồ,adj
EN,fall behind,,tụt lại phía sau,phr
EN,feasible,,khả thi,adj
EN,forwarding address,,địa chỉ gửi chuyển tiếp thư,phr
EN,get over,,vượt qua,phr
EN,impress,,gây ấn tượng,v
EN,inadequate,,không đủ; không tương xứng,adj
EN,in a timely fashion,,một cách kịp thời,phr
EN,irreplaceable,,không thể thay thế được,adj
EN,limitation,,sự hạn chế; sự giới hạn,n
EN,massive,,lớn; thô; có quy mô lớn,adj
EN,point out,,chỉ ra,phr
EN,rave review,,bài đánh giá tích cực,phr
EN,repeatedly,,lặp đi lặp lại,adv
EN,strategically,,một cách chiến lược,adv
EN,unveil,,tiết lộ; công bố,v
EN,a great deal,,nhiều; rất nhiều,phr
EN,be sensitive to,,nhạy cảm với,phr
EN,bother to do,,mất thời gian; công sức để làm gì,phr
EN,call off,,hoãn lại; hủy bỏ,phr
EN,carry out market studies,,tiến hành nghiên cứu thị trường,phr
EN,come across,,tình cờ gặp,phr
EN,contrive to do,,xoay xở làm gì,phr
EN,deliberate,,thong thả; khoan thai; có tính toán,adj
EN,discounted rate,,tỷ lệ chiết khấu,phr
EN,have a tendency to do,,có xu hướng làm gì,phr
EN,have an opportunity to do,,có cơ hội làm gì,phr
EN,have something to do with,,có liên quan tới,phr
EN,in turn,,lần lượt; kết quả là,phr
EN,make no exception,,không có ngoại lệ,phr
EN,televise,,phát trên truyền hình,v
EN,discipline,,kỷ luật,n
EN,jingle,,tiếng leng keng,n
EN,mobility,,tính lưu động; tính dễ biến đổi,n
EN,abruptly,,bất ngờ; đột ngột,adv
EN,absorbing,,hấp dẫn; làm say mê,adj
EN,admiringly,,khâm phục; ngưỡng mộ,adv
EN,at large,,nói chung; phần lớn,phr
EN,boast about,,tự hào về; khoe khoang về,phr
EN,correspondent,,phóng viên,n
EN,counterpart,,bản đối chiếu; người tương nhiệm,n
EN,defeat,,đánh bại,v
EN,diversify,,đa dạng hóa,v
EN,dominant,,có ưu thế hơn; trội hơn,adj
EN,fabulous,,hoang đường; khó tin,adj
EN,fortify,,củng cố; tăng cường,v
EN,fundamental,,cơ bản; chủ yếu,adj
EN,mingle,,trộn lẫn; lẫn vào,v
EN,preciously,,quý giá; kiểu cách,adv
EN,stark,,ảm đạm; bình dị,adj
EN,steadiness,,sự vững chắc; ổn định,n
EN,alluring,,quyến rũ; lôi cuốn,adj
EN,assimilate,,đồng hóa; hòa nhập,v
EN,at all costs,,bằng mọi giá,phr
EN,await,,chờ đợi,v
EN,captivate,,làm say đắm; quyến rũi,v
EN,culminate in,,kết thúc bằng; đem lại kết quả,phr
EN,defiance,,sự thách thức; sự bất chấp,n
EN,dissipate,,xua tan; làm tiêu tan,v
EN,driving force,,động lực,phr
EN,elicit,,gợi ra,
EN,overwhelming,,tràn ngập; lấn át,adj
EN,voiced,,bằng lời nói,adj
EN,brand new,,hoàn toàn mới,phr
EN,break down,,hỏng; trục trặc,phr
EN,developer,,nhà phát triển,n
EN,handmade,,thủ công,adj
EN,in a row,,thành hàng,phr
EN,late,,muộn; chậm; trễ,adj
EN,lid,,nắp; vung,n
EN,sample,,lấy mẫu; thử,n
EN,shape,,tạo hình; định hướng,v
EN,switch off,,tắt; ngắt,phr
EN,turn off (>< turn on),,tắt,phr
EN,be known for,,được biết đến bởi; nổi tiếng vì,phr
EN,be made of,,được làm từ,phr
EN,catalog,,danh mục,n
EN,chemist,,nhà hóa học,n
EN,close down,,đóng cửa; ngừng hoạt động,phr
EN,control,,sự kiểm soát,n
EN,design,,thiết kế,v
EN,discovery,,sự khám phá,n
EN,historic,,được ghi vào lịch sử; có tính lịch sử,adj
EN,invention,,phát minh; sáng chế,n
EN,original,,đầu tiên; gốc,adj
EN,receive,,nhân,v
EN,repeat,,lặp lại,v
EN,request form,,phiếu yêu cầu,phr
EN,sensor,,thiết bị cảm biến,n
EN,technique,,công nghệ,n
EN,test,,bài kiểm tra,n
EN,a series of,,một chuỗi,phr
EN,check the manual.,,xem sổ tay hướng dẫn,phr
EN,come up with,,nghĩ ra (ý tưởng); tạo ra,phr
EN,enter a contest,,tham gia cuộc thi,phr
EN,give a demonstration of,,minh họa (cái gì),phr
EN,go straight to,,đi thẳng đến,phr
EN,laboratory,,phòng thí nghiệm,n
EN,latest work,,tác phẩm mới nhất,phr
EN,lightweight,,nhẹ; không quan trọng,adj
EN,out-of-date,,cũ; lỗi thời,adj
EN,product designer,,người thiết kế sản phẩm,phr
EN,product display,,việc trưng bày sản phẩm,phr
EN,redesign,,sự thiết kế lại,n
EN,trial period,,thời gian thử nghiệm,phr
EN,try out,,thử,phr
EN,unplug the equipment,,rút phích cắm thiết bị,phr
EN,up-to-date,,cập nhật; hiện đại; hợp thời,adj
EN,user's guide,,hướng dẫn sử dụng,phr
EN,waterproof,,chống nước,adj
EN,well-prepared,,được chuẩn bị tốt,adj
EN,with the lights on,,đang bật đèn,phr
EN,advancement,,sự tiến bộ; sự thúc đẩy,n
EN,appliance,,thiết bị; dụng cụ,n
EN,aside from,,ngoại trừ,phr
EN,certified,,được chứng nhận,adj
EN,complementary,,bù; bổ sung,adj
EN,composition,,sự cấu thành; thành phần,n
EN,consist of,,bao gồm,phr
EN,cooperative,,mang tính tập thể; hợp tác,adj
EN,delighted,,vui mừng; vui lòng,adj
EN,designed,,được thiết kế,adj
EN,durable,,bền; chắc chắn,adj
EN,electronics,,điện tử,n
EN,except for,,ngoại trừ,phr
EN,exploration,,sự thăm dò; sự thám hiểm,n
EN,imaginable,,có thể tưởng tượng được,adj
EN,innovate,,đổi mới; cách tân,v
EN,interpretation,,sự giải thích; cách hiểu,n
EN,licensed,,được cấp phép,adj
EN,mechanical,,(thuộc) cơ khí; máy móc,adj
EN,prediction,,sự dự đoán; dự báo,n
EN,prototype,,mẫu đầu tiên; nguyên mẫu,n
EN,quantity,,số lượng,n
EN,remnant,,vật còn lại; tàn dư,n
EN,screen,,màn hình,n
EN,suspend,,treo; đình chỉ,v
EN,technical,,thuộc về kỹ thuật,adj
EN,unfavorable,,bất lợi; không được ưa thích,adj
